Sample#, X-Step size = 11.0000, Y-Step size = 11.0000 ; 
#865, -31, 77 ; 
#866, -34, 76 ; 
#867, -34, 75 ; 
#868, -32, 74 ; 
#869, -30, 73 ; 
#870, -27, 72 ; 
#871, -23, 71 ; 
#872, -17, 69 ; 
#873, -12, 67 ; 
#874, -8, 67 ; 
#875, -6, 68 ; 
#876, -5, 68 ; 
#877, -4, 68 ; 
#878, -2, 69 ; 
#879, 0, 70 ; 
#880, 2, 69 ; 
#881, 0, 69 ; 
#882, -2, 70 ; 
#883, -3, 69 ; 
#884, -3, 68 ; 
#885, -3, 67 ; 
#886, -5, 67 ; 
#887, -8, 65 ; 
#888, -14, 62 ; 
#889, -20, 61 ; 
#890, -24, 60 ; 
#891, -26, 61 ; 
#892, -28, 60 ; 
#893, -31, 59 ; 
#894, -33, 59 ; 
#895, -32, 58 ; 
#896, -31, 57 ; 
#897, -29, 57 ; 
#898, -24, 57 ; 
#899, -20, 57 ; 
#900, -17, 53 ; 
#901, -15, 52 ; 
#902, -11, 49 ; 
#903, -9, 48 ; 
#904, -8, 47 ; 
#905, -8, 48 ; 
#906, -7, 47 ; 
#907, -9, 48 ; 
#908, -10, 47 ; 
#909, -12, 48 ; 
#910, -12, 48 ; 
#911, -13, 49 ; 
#912, -15, 50 ; 
#913, -16, 52 ; 
#914, -17, 54 ; 
#915, -18, 56 ; 
#916, -18, 56 ; 
#917, -18, 58 ; 
#918, -18, 58 ; 
#919, -18, 58 ; 
#920, -18, 58 ; 
#921, -17, 56 ; 
#922, -15, 53 ; 
#923, -12, 49 ; 
#924, -11, 46 ; 
#925, -11, 43 ; 
#926, -10, 41 ; 
#927, -9, 40 ; 
#928, -7, 39 ; 
#929, -6, 37 ; 
#930, -5, 38 ; 
#931, -5, 38 ; 
#932, -4, 38 ; 
#933, -3, 39 ; 
#934, -1, 41 ; 
#935, 0, 42 ; 
#936, 1, 43 ; 
#937, 2, 44 ; 
#938, 2, 46 ; 
#939, 3, 47 ; 
#940, 5, 48 ; 
#941, 6, 50 ; 
